BILL_NUM,AUTHOR,PROTECTION,ISSUE_TYPE,STATUS
HB 370,"SWANSON, ISAAC, HARRIS, TEPPER",N,OTHER,DEFEATED
HB 1655,"SCHATZLINE, HARRIS, BUCKLEY, WILSON, RICHARDSON",N,EDUCATION,DEFEATED
SB 2943,HAGENBUCH,N,HEALTHCARE,DEFEATED
HB 1088,"BONNEN, METCALF",N,OTHER,DEFEATED
HB 4503,"BONNEN, METCALF",N,OTHER,DEFEATED
SB 240,MIDDLETON,N,OTHER,DEFEATED
SB 2826,PARKER,N,HEALTHCARE,DEFEATED
SB 406,MIDDLETON,N,OTHER,DEFEATED
SB 86,HALL,N,EDUCATION,DEFEATED
SB 983,HUGHES,N,EDUCATION,DEFEATED
HB 5541,TOTH,N,OTHER,DEFEATED
HB 5593,SWANSON,N,OTHER,DEFEATED
HB 5135,GERDES,N,OTHER,DEFEATED
SB 1565,CREIGHTON,N,"EDUCATION, OTHER",DEFEATED
HB 436,LEO_WILSON,N,OTHER,DEFEATED
HB 1704,SCHATZLINE,N,EDUCATION,DEFEATED
HB 2291,LOWE,N,OTHER,DEFEATED
HB 2342,CAIN,N,"EDUCATION, OTHER",DEFEATED
HB 2258,"TOTH, OLIVERSON, METCALF, GUILLEN, MCQUEENEY",N,HEALTHCARE,DEFEATED
HB 2062,HOLT,N,"EDUCATION, OTHER",DEFEATED
SB 810,HUGHES,N,"EDUCATION, OTHER",DEFEATED
HB 2549,LOWE,N,OTHER,DEFEATED
HB 2548,HARRIS,N,EDUCATION,DEFEATED
SB 1953,CAMPBELL,N,OTHER,DEFEATED
HB 2704,SHOFNER,N,"EDUCATION, OTHER",DEFEATED
HB 2846,SHAHEEN,N,EDUCATION,DEFEATED
HB 2816,"OLIVERSON, NOBLE, HEFNER, METCALF, ORR",N,"HEALTHCARE, OTHER",DEFEATED
HB 3075,MCLAUGHLIN,N,OTHER,DEFEATED
HB 3186,SWANSON,N,EDUCATION,DEFEATED
HB 3431,TINDERHOLT,N,HEALTHCARE,DEFEATED
HB 3427,TINDERHOLT,N,OTHER,DEFEATED
HB 3399,"MONEY, HOPPER",N,HEALTHCARE,DEFEATED
HB 3411,SCHATZLINE,N,EDUCATION,DEFEATED
HB 3478,LOWE,N,HEALTHCARE,DEFEATED
HB 3548,HARRIS_DAVILA,N,EDUCATION,DEFEATED
SB 2149,"BETTENCOURT, CREIGHTON, KING",N,OTHER,DEFEATED
HB 3616,SCHATZLINE,N,EDUCATION,DEFEATED
HB 3817,"OLIVERSON, RICHARDSON",N,OTHER,DEFEATED
HB 3842,SCHATZLINE,N,"FREE_SPEECH, EDUCATION",DEFEATED
HB 3742,SHOFNER,N,"EDUCATION, OTHER",DEFEATED
HB 4002,MONEY,N,EDUCATION,DEFEATED
HB 4001,MONEY,N,OTHER,DEFEATED
HB 4333,HAYES,N,OTHER,DEFEATED
HB 4311,TOTH,N,OTHER,DEFEATED
HB 4425,CAIN,N,"FREE_SPEECH, OTHER",DEFEATED
HB 4710,HOPPER,N,HEALTHCARE,DEFEATED
HB 2339,HARRISON,N,EDUCATION,DEFEATED
SB 2714,MIDDLETON,N,EDUCATION,DEFEATED
SB 1696,"HALL, BETTENCOURT, CAMPBELL, CREIGHTON, FLORES, HAGENBUCH, HINOJOSA, HUFFMAN, HUGHES, KOLKHORST, MIDDLETON, PARKER, PERRY, SCHWERTNER, SPARKS",N,OTHER,DEFEATED
HB 1521,"GERDES, TEPPER, SCHATZLINE",N,OTHER,DEFEATED
HB 239,"SWANSON, BONNEN, LEACH, HARRIS, METCALF",N,OTHER,DEFEATED
HB 167,TEPPER,N,OTHER,DEFEATED
HB 477,SWANSON,N,OTHER,DEFEATED
HB 344,TEPPER,N,EDUCATION,DEFEATED
HB 403,SWANSON,N,OTHER,DEFEATED
HB 843,HARRISON,N,OTHER,DEFEATED
HB 847,HARRISON,N,HEALTHCARE,DEFEATED
HB 980,TOTH,N,OTHER,DEFEATED
HB 976,TOTH,N,EDUCATION,DEFEATED
HB 938,"TOTH, MCQUEENEY",N,FREE_SPEECH,DEFEATED
HB 973,NOBLE,N,"EDUCATION, OTHER",DEFEATED
SB 1393,HALL,N,OTHER,DEFEATED
HB 1015,TOTH,N,EDUCATION,DEFEATED
HB 1123,"LOPEZ, LEO_WILSON",N,EDUCATION,DEFEATED
HB 1016,TOTH,N,EDUCATION,DEFEATED
HB 1075,SCHATZLINE,N,FREE_SPEECH,DEFEATED
HB 1014,TOTH,N,EDUCATION,DEFEATED
SB 1068,MIDDLETON,N,EDUCATION,DEFEATED
SB 1127,MIDDLETON,N,OTHER,DEFEATED
HR 144,LOZANO,N,OTHER,DEFEATED
SB 949,PARKER,N,OTHER,DEFEATED
SB 116,"HALL, MIDDLETON",N,HEALTHCARE,DEFEATED
SB 115,HALL,N,HEALTHCARE,DEFEATED
SB 84,HALL,N,OTHER,DEFEATED
SB 753,MIDDLETON,N,HEALTHCARE,DEFEATED
